cpd_id	atom	marvin_pka	molgpka_pka	abs_diff	type	functional_group	diff	change_category	est_dg_shift_kj
cpd00002	29	7.42	0.9810361862182616	6.438963813781738	A	phosphate	-6.438963813781738	Very large (>5.0)	36.75365506213123
cpd00002	30	1.55	0.9810364246368408	0.5689635753631592	A	phosphate	-0.5689635753631592	Moderate (0.5-2.0)	3.2476484721122705
cpd00002	14	12.6	10.117020606994627	2.4829793930053707	A	alcohol_or_phenol	-2.4829793930053725	Large (2.0-5.0)	14.172865506958223
cpd00002	6	-7.46	3.656095504760742	11.116095504760745	B	aromatic_n	11.116095504760743	Very large (>5.0)	63.45075879215569
cpd00002	9	-1.06	3.424222946166992	4.484222946166993	B	aromatic_n	4.484222946166993	Large (2.0-5.0)	25.59597912825017
cpd00002	15	4.93	4.041659355163574	0.8883406448364255	B	aromatic_n	-0.8883406448364255	Moderate (0.5-2.0)	5.0706552455080995
cpd00003	35	12.7	10.11825942993164	2.5817405700683587	A	alcohol_or_phenol	-2.5817405700683587	Large (2.0-5.0)	14.736595066601648
cpd00003	6	11.94	1.9302674531936648	10.009732546806337	A	alcohol_or_phenol	-10.009732546806335	Very large (>5.0)	57.135630503479476
cpd00003	25	11.38	11.834643363952637	0.4546433639526359	A	amide_nh	0.45464336395263594	Small (<0.5)	2.5951078245287027
cpd00003	37	-1.05	3.593536853790283	4.643536853790283	B	aromatic_n	4.643536853790283	Large (2.0-5.0)	26.505344140498575
cpd00003	41	4.93	4.239591598510742	0.6904084014892575	B	aromatic_n	-0.6904084014892575	Moderate (0.5-2.0)	3.9408564753884354
cpd00003	43	-7.46	3.77864933013916	11.23864933013916	B	aromatic_n	11.238649330139161	Very large (>5.0)	64.15029697170905
cpd00004	36	12.9	11.264663696289062	1.635336303710938	A	alcohol_or_phenol	-1.6353363037109379	Moderate (0.5-2.0)	9.334512222063848
cpd00004	14	12.28	10.943846702575684	1.3361532974243158	A	alcohol_or_phenol	-1.3361532974243158	Moderate (0.5-2.0)	7.626773316935303
cpd00004	18	14.0	10.763714790344238	3.2362852096557617	A	alcohol_or_phenol	-3.2362852096557617	Large (2.0-5.0)	18.472740912719285
cpd00004	6	2.28	3.691401958465576	1.4114019584655764	B	aromatic_n	1.4114019584655764	Moderate (0.5-2.0)	8.056293253959671
cpd00004	9	1.85	3.4824233055114746	1.6324233055114743	B	aromatic_n	1.6324233055114745	Moderate (0.5-2.0)	9.317884805896275
cpd00004	15	4.93	4.11588716506958	0.8141128349304196	B	aromatic_n	-0.8141128349304196	Moderate (0.5-2.0)	4.646962334629557
cpd00005	18	0.9	1.7796359062194824	0.8796359062194824	A	phosphate	0.8796359062194824	Moderate (0.5-2.0)	5.020968530411429
cpd00005	19	5.78	1.7796359062194824	4.000364093780518	A	phosphate	-4.000364093780518	Large (2.0-5.0)	22.834109070631925
cpd00005	40	12.75	11.14081859588623	1.6091814041137695	A	alcohol_or_phenol	-1.6091814041137695	Moderate (0.5-2.0)	9.185219853636262
cpd00005	11	-7.46	3.603278636932373	11.063278636932374	B	aromatic_n	11.063278636932374	Very large (>5.0)	63.14927970363041
cpd00005	12	-1.06	3.3930015563964844	4.453001556396485	B	aromatic_n	4.453001556396485	Large (2.0-5.0)	25.41776719487519
cpd00005	22	4.87	4.023940563201904	0.8460594367980958	B	aromatic_n	-0.8460594367980958	Moderate (0.5-2.0)	4.829313784243031
cpd00006	18	0.9	1.6619890928268433	0.7619890928268432	A	phosphate	0.7619890928268432	Moderate (0.5-2.0)	4.349439613082038
cpd00006	19	5.78	1.6619892120361328	4.118010787963867	A	phosphate	-4.118010787963867	Large (2.0-5.0)	23.505637307513773
cpd00006	47	11.66	11.51529598236084	0.1447040176391603	A	amide_nh	-0.1447040176391603	Small (<0.5)	0.8259716476478599
cpd00006	11	-7.46	3.70605993270874	11.16605993270874	B	aromatic_n	11.16605993270874	Very large (>5.0)	63.73595613186534
cpd00006	12	-1.06	3.515939712524414	4.575939712524415	B	aromatic_n	4.575939712524415	Large (2.0-5.0)	26.11949913730811
cpd00006	22	4.87	4.132856369018555	0.7371436309814454	B	aromatic_n	-0.7371436309814454	Moderate (0.5-2.0)	4.207621525430948
cpd00008	25	7.42	1.10223388671875	6.31776611328125	A	phosphate	-6.31776611328125	Very large (>5.0)	36.06185765383018
cpd00008	26	1.77	1.1022337675094604	0.6677662324905396	A	phosphate	-0.6677662324905396	Moderate (0.5-2.0)	3.811614800282856
cpd00008	14	12.46	10.958693504333496	1.5013064956665048	A	alcohol_or_phenol	-1.5013064956665048	Moderate (0.5-2.0)	8.569469045028884
cpd00008	18	13.98	10.837935447692873	3.1420645523071293	A	alcohol_or_phenol	-3.1420645523071276	Large (2.0-5.0)	17.934928674590704
cpd00008	6	-7.46	3.665408611297608	11.125408611297608	B	aromatic_n	11.125408611297608	Very large (>5.0)	63.503918076026814
cpd00008	9	-1.05	3.43358850479126	4.48358850479126	B	aromatic_n	4.4835885047912605	Large (2.0-5.0)	25.592357731989033
cpd00008	15	4.93	4.047236919403076	0.8827630805969235	B	aromatic_n	-0.8827630805969235	Moderate (0.5-2.0)	5.038818465853154
cpd00009	2	12.9	2.111807346343994	10.788192653656006	A	phosphate	-10.788192653656006	Very large (>5.0)	61.57908679151514
cpd00009	4	6.95	2.111806869506836	4.838193130493164	A	phosphate	-4.838193130493164	Large (2.0-5.0)	27.616443667770895
cpd00009	3	1.8	2.111807107925415	0.311807107925415	A	phosphate	0.311807107925415	Small (<0.5)	1.7797973745531424
cpd00010	22	0.92	1.7931499481201172	0.8731499481201171	A	phosphate	0.8731499481201171	Moderate (0.5-2.0)	4.98394663160509
