rxn_id	old_dg	new_dg	diff	abs_diff	old_model_only	new_model_only	old_pH_correction	new_pH_correction	pH_correction_diff
rxn00001	-15.761795384570178	-16.479271435241415	-0.7174760506712374	0.7174760506712374	23.455338865109752	23.455338865109752	-39.21713424967993	-39.93461030035117	-0.7174760506712374
rxn00002	-85.9740707528905	-84.58516460195113	1.3889061509393628	1.3889061509393628	-207.32960652083239	-207.32960652083239	121.35553576794189	122.74444191888125	1.3889061509393628
rxn00003	46.68330797769474	46.696890478378464	0.01358250068372513	0.01358250068372513	88.23713306456855	88.23713306456855	-41.553825086873815	-41.54024258619009	0.01358250068372513
rxn00004	7.280232956556972	7.28645071466363	0.006217758106657811	0.006217758106657811	5.660297957392686	5.660297957392686	1.6199349991642862	1.626152757270944	0.006217758106657811
rxn00006	-194.60862444765502	-194.60862444765502	0.0	0.0	-194.6089121273256	-194.6089121273256	0.00028767967057774513	0.00028767967057774513	0.0
rxn00007	-11.176453765738223	-11.176678551137265	-0.0002247853990411386	0.0002247853990411386	-11.176034941186494	-11.176034941186494	-0.0004188245517298128	-0.0006436099507709514	-0.0002247853990411386
rxn00008	263.15941973015623	263.15941973015623	0.0	0.0	344.64818819958873	344.64818819958873	-81.48876846943249	-81.48876846943249	0.0
rxn00009	-28.527039455852332	-39.00446446248611	-10.47742500663378	10.47742500663378	10.652469826157358	10.652469826157358	-39.17950928200969	-49.65693428864347	-10.47742500663378
rxn00010	-18.91298935942676	-17.695611933408117	1.2173774260186434	1.2173774260186434	-60.466937194415976	-60.466937194415976	41.553947834989216	42.77132526100786	1.2173774260186434
rxn00011	0.1511048911670798	0.1506286956106635	-0.0004761955564163145	0.0004761955564163145	41.70519449743793	41.70519449743793	-41.55408960627085	-41.554565801827266	-0.0004761955564163145
rxn00012	-34.22152060526503	-34.22160004947398	-7.944420895000803e-05	7.944420895000803e-05	-34.221312955828466	-34.221312955828466	-0.0002076494365610415	-0.00028709364551104954	-7.944420895000803e-05
rxn00013	-10.024858275172392	-10.179717915501442	-0.1548596403290503	0.1548596403290503	-3.701726373972406	-3.701726373972406	-6.323131901199986	-6.477991541529036	-0.1548596403290503
rxn00015	-13.688646327139338	-13.688646327139338	0.0	0.0	-12.037657820678362	-12.037657820678362	-1.6509885064609762	-1.6509885064609762	0.0
rxn00016	-8.128054723693253	-8.128406115448456	-0.0003513917552027124	0.0003513917552027124	-8.127962621036545	-8.127962621036545	-9.21026567084482e-05	-0.00044349441191116057	-0.0003513917552027124
